norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
67015,STARLINK-36093,PAYLOAD,Starlink Gen 1,572.0486330499953,Low LEO,LEO-Inclined,HIGH,70.0013,0.0003333,2024,0,<1yr,14.98332347,2026-05-27 12:01:19.598592,celestrak,2026-05-27,US,2026-05-27
67016,STARLINK-36120,PAYLOAD,Starlink Gen 1,572.0398011426732,Low LEO,LEO-Inclined,HIGH,70.001,0.0003673,2024,0,<1yr,14.98335203,2026-05-27 12:13:20.859744,celestrak,2026-05-27,US,2026-05-27
67017,STARLINK-35498,PAYLOAD,Starlink Gen 1,572.0487381919183,Low LEO,LEO-Inclined,HIGH,70.0013,0.0003116,2024,0,<1yr,14.98332313,2026-05-27 13:25:26.396256,celestrak,2026-05-27,US,2026-05-27
67018,STARLINK-36106,PAYLOAD,Starlink Gen 1,572.0460014108103,Low LEO,LEO-Inclined,HIGH,70.0014,0.0003248,2024,0,<1yr,14.98333198,2026-05-27 13:13:24.890592,celestrak,2026-05-27,US,2026-05-27
67019,STARLINK-35688,PAYLOAD,Starlink Gen 1,572.044418099128,Low LEO,LEO-Inclined,HIGH,70.0012,0.0003537,2024,0,<1yr,14.9833371,2026-05-27 12:55:39.518112,celestrak,2026-05-27,US,2026-05-27
67020,STARLINK-36172,PAYLOAD,Starlink Gen 1,572.0786264909129,Low LEO,LEO-Inclined,HIGH,70.0009,0.0003003,2024,0,<1yr,14.98322648,2026-05-27 12:07:33.574080,celestrak,2026-05-27,US,2026-05-27
67021,STARLINK-36184,PAYLOAD,Starlink Gen 1,567.3104579248975,Low LEO,LEO-Inclined,HIGH,70.0011,0.0007488,2024,0,<1yr,14.99865849,2026-05-27 12:30:55.756224,celestrak,2026-05-27,US,2026-05-27
67022,STARLINK-36209,PAYLOAD,Starlink Gen 1,572.053936537237,Low LEO,LEO-Inclined,HIGH,70.0012,0.0003042,2024,0,<1yr,14.98330632,2026-05-27 13:19:40.001376,celestrak,2026-05-27,US,2026-05-27
67023,STARLINK-36191,PAYLOAD,Starlink Gen 1,572.0366221576887,Low LEO,LEO-Inclined,HIGH,70.0012,0.0003166,2024,0,<1yr,14.98336231,2026-05-27 12:43:38.275968,celestrak,2026-05-27,US,2026-05-27
67024,STARLINK-36192,PAYLOAD,Starlink Gen 1,572.0379364263326,Low LEO,LEO-Inclined,HIGH,70.0009,0.0003482,2024,0,<1yr,14.98335806,2026-05-27 12:19:35.764032,celestrak,2026-05-27,US,2026-05-27
67025,STARLINK-36178,PAYLOAD,Starlink Gen 1,572.0725374777094,Low LEO,LEO-Inclined,HIGH,70.0014,0.0002849,2024,0,<1yr,14.98324617,2026-05-27 11:55:33.570048,celestrak,2026-05-27,US,2026-05-27
67026,STARLINK-36176,PAYLOAD,Starlink Gen 1,572.0459735791519,Low LEO,LEO-Inclined,HIGH,70.0012,0.000324,2024,0,<1yr,14.98333207,2026-05-27 13:01:37.799040,celestrak,2026-05-27,US,2026-05-27
67027,STARLINK-36171,PAYLOAD,Starlink Gen 1,572.0450056560921,Low LEO,LEO-Inclined,HIGH,70.0021,0.0003001,2024,0,<1yr,14.9833352,2026-05-27 13:07:38.492256,celestrak,2026-05-27,US,2026-05-27
67028,STARLINK-36132,PAYLOAD,Starlink Gen 1,572.0259781507721,Low LEO,LEO-Inclined,HIGH,70.0014,0.0003148,2024,0,<1yr,14.98339673,2026-05-27 12:37:37.543872,celestrak,2026-05-27,US,2026-05-27
67029,STARLINK-36190,PAYLOAD,Starlink Gen 1,572.0342750300588,Low LEO,LEO-Inclined,HIGH,70.0012,0.0003606,2024,0,<1yr,14.9833699,2026-05-27 12:49:38.824032,celestrak,2026-05-27,US,2026-05-27
